Pagina,Apparaatcategorie,Besturingssysteem,Browser,Browserversie,Unieke paginaweergaves
/templates/winkelwagen.asp,desktop,Windows,Chrome,44.0.2403.130,5
/templates/winkelwagen.asp,desktop,Windows,Chrome,44.0.2403.155,5
/shop/checkout.asp,desktop,Macintosh,Safari,7.0.6,4
/shop/checkout.asp,desktop,Macintosh,Safari,8.0.3,4
/shop/checkout.asp,desktop,Windows,Chrome,43.0.2357.130,4
/shop/checkout.asp,desktop,Windows,Chrome,47.0.2526.73,4
/shop/checkout.asp,mobile,Windows,Internet Explorer,11.0,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,36.0.1985.143,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,37.0.2062.120,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,37.0.2062.124,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Chrome,42.0.2311.135,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,36.0,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,40.0,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Firefox,45.0,4
/shop/psp/IDEC/cfm.asp,desktop,Windows,Internet Explorer,7.0,4
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,7.0.6,4
/shop/selectpaymentmethod.asp,desktop,Macintosh,Safari,8.0.3,4
/shop/selectpaymentmethod.asp,desktop,Windows,Chrome,47.0.2526.73,4
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,30.0,4
/shop/selectpaymentmethod.asp,desktop,Windows,Firefox,43.0,4
/templates/bestellen.asp,desktop,Macintosh,Chrome,35.0.1916.153,4
/templates/bestellen.asp,desktop,Macintosh,Firefox,38.0,4
/templates/bestellen.asp,desktop,Macintosh,Safari,6.1.4,4
/templates/bestellen.asp,desktop,Macintosh,Safari,7.0.3,4
/templates/bestellen.asp,desktop,Macintosh,Safari,8.0.8,4
/templates/bestellen.asp,desktop,Macintosh,Safari,9.0.3,4
/templates/bestellen.asp,desktop,Windows,Chrome,37.0.2062.103,4
/templates/bestellen.asp,desktop,Windows,Chrome,40.0.2179.0,4
/templates/bestellen.asp,desktop,Windows,Chrome,41.0.2272.118,4
/templates/bestellen.asp,desktop,Windows,Chrome,43.0.2357.134,4
